# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Fri, 16 Apr 2021 21:26:34 +0200
#
# IP	number of (black)lists
#
185.220.102.248	10
162.247.74.74	10
162.247.74.27	10
185.220.102.4	10
171.25.193.78	10
185.220.101.1	10
62.210.105.116	9
185.220.101.215	9
185.56.80.65	9
178.165.72.177	9
185.100.87.202	9
185.191.124.150	9
198.144.121.93	9
185.220.103.7	9
46.182.21.248	9
185.220.102.250	9
185.220.101.207	9
185.220.101.206	9
185.220.102.244	8
185.220.102.243	8
185.220.102.249	8
162.247.74.206	8
178.20.55.18	8
162.247.72.199	8
192.42.116.16	8
192.42.116.14	8
192.42.116.13	8
198.144.120.234	8
166.70.207.2	8
185.220.101.211	8
185.220.101.212	8
162.247.74.217	8
162.247.74.7	8
103.151.145.10	8
209.127.17.234	8
81.161.63.103	8
45.153.160.138	8
89.234.157.254	8
84.53.192.243	8
185.191.124.153	8
171.25.193.77	8
194.165.16.89	8
162.247.74.213	8
198.96.155.3	8
77.247.181.165	8
161.97.77.212	8
185.220.103.5	8
66.230.230.230	8
171.25.193.20	8
171.25.193.25	8
185.220.102.254	8
185.220.102.253	8
23.129.64.202	8
95.128.43.164	8
193.239.232.101	8
209.141.59.180	8
185.220.101.204	8
185.220.101.201	8
104.244.79.172	7
209.141.54.71	7
191.5.55.11	7
185.220.102.245	7
185.220.102.240	7
185.220.102.241	7
185.220.102.242	7
195.254.135.76	7
185.107.70.202	7
111.229.4.66	7
164.52.24.164	7
23.129.64.237	7
23.129.64.236	7
23.129.64.234	7
23.129.64.230	7
185.107.47.171	7
23.129.64.209	7
45.133.1.18	7
94.142.241.194	7
23.129.64.208	7
23.129.64.203	7
209.127.17.242	7
185.220.100.252	7
104.244.77.95	7
67.207.88.180	7
94.230.208.147	7
192.42.116.19	7
185.130.44.108	7
185.220.101.218	7
185.220.101.216	7
185.220.101.213	7
140.143.241.67	7
205.185.126.173	7
121.4.105.116	7
138.68.9.15	7
116.110.68.228	7
162.247.74.216	7
207.244.70.35	7
213.202.233.34	7
167.86.94.107	7
185.233.100.23	7
185.67.82.114	7
62.102.148.69	7
62.102.148.68	7
94.142.244.16	7
185.220.102.246	7
45.153.160.137	7
45.153.160.136	7
192.42.116.23	7
192.42.116.20	7
192.42.116.24	7
212.95.137.19	7
195.206.105.217	7
185.34.33.2	7
162.247.74.202	7
162.247.74.201	7
162.247.74.200	7
162.247.74.204	7
45.125.65.45	7
109.104.151.112	7
82.221.131.5	7
41.226.25.4	7
185.191.124.151	7
23.129.64.235	7
23.129.64.231	7
185.220.101.9	7
185.220.101.3	7
209.141.48.202	7
18.27.197.252	7
62.210.37.82	7
185.247.224.14	7
209.141.54.195	7
185.170.114.25	7
185.130.44.124	7
185.165.168.229	7
209.141.52.57	7
185.220.102.8	7
206.189.138.99	7
77.247.181.163	7
182.254.130.92	7
176.10.104.240	7
185.213.155.169	7
185.220.103.8	7
109.104.151.108	7
217.170.206.138	7
176.10.99.200	7
198.144.120.177	7
158.69.35.227	7
104.131.16.66	7
185.191.124.143	7
185.36.81.58	7
185.220.102.252	7
185.220.102.251	7
185.220.103.10	7
85.95.191.186	7
64.113.32.29	7
23.129.64.200	7
23.129.64.201	7
23.129.64.206	7
23.129.64.204	7
23.129.64.205	7
144.172.118.4	7
45.129.56.200	7
82.221.128.191	7
185.220.101.198	7
185.220.101.197	7
147.139.163.83	7
105.203.195.68	7
23.129.64.247	7
217.170.204.126	7
209.141.48.144	7
162.247.73.192	7
198.98.51.189	7
185.220.101.208	7
185.220.101.205	7
185.220.101.203	7
185.220.101.202	7
80.67.172.162	7
128.199.99.204	6
159.89.227.177	6
128.31.0.13	6
45.153.160.129	6
59.145.221.103	6
107.189.11.153	6
121.4.78.187	6
212.129.249.209	6
174.138.24.42	6
185.220.100.255	6
122.114.70.12	6
119.188.3.66	6
198.98.57.207	6
223.255.187.154	6
5.2.77.22	6
221.131.165.23	6
23.81.64.142	6
185.220.102.7	6
188.214.104.146	6
